cell,x,y,cell_class,strain,GFP,tissue,sex,age,diameter,gene-b0001,gene-b0002,gene-b0003,gene-b0004,gene-b0005,gene-b0006,gene-b0007,gene-b0008,gene-b0009,gene-b0010,gene-b0011
1771017030_A10,28530.0,61011.0,OPC,PDGFRA-GFP,1,cortex S1,0,22.0,6.570387,0,0,0,0,0,0,0,0,0,0,1
1771017030_A12,28894.0,60785.0,OPC,PDGFRA-GFP,1,cortex S1,0,22.0,5.901852,0,0,0,0,0,0,0,0,0,0,0
1771017030_B02,28742.0,61427.0,OPC,PDGFRA-GFP,1,cortex S1,-1,22.0,6.125486,0,0,0,0,0,0,0,0,0,0,0
1771017030_B03,28539.0,60710.0,OPC,PDGFRA-GFP,1,cortex S1,0,22.0,6.850955,0,0,0,0,0,0,0,0,0,0,0
1771017030_B04,29112.0,62441.0,OPC,PDGFRA-GFP,1,cortex S1,0,22.0,6.351833,0,0,0,0,0,0,0,0,0,0,0
1771017030_C09,28395.0,59436.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,6.266569,0,0,0,0,0,2,0,2,0,0,0
1771017030_D02,27910.0,59150.0,OPC,PDGFRA-GFP,1,cortex S1,0,22.0,7.148752,0,0,0,0,0,1,0,0,0,0,0
1771017030_D06,29170.0,60078.0,OPC,PDGFRA-GFP,1,cortex S1,0,22.0,6.298678,0,0,0,0,0,0,0,1,0,0,0
1771017030_D11,28823.0,60835.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,7.461714,0,0,0,2,0,0,0,1,0,0,0
1771017030_E01,28948.0,61999.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,7.604535,0,0,0,0,0,0,0,0,0,0,0
1771017030_E06,28960.0,62487.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,5.935934,0,0,0,0,0,0,0,0,0,0,0
1771017030_E08,28715.0,61708.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,6.860763,0,0,0,0,0,0,0,0,0,0,0
1771017030_E12,28155.0,58853.0,OPC,PDGFRA-GFP,1,cortex S1,-1,22.0,7.063588,0,0,0,0,0,0,0,0,0,0,0
1771017030_F01,28424.0,61460.0,OPC,PDGFRA-GFP,1,cortex S1,-1,22.0,7.595687,0,0,0,0,0,0,0,0,0,0,0
1771017030_F02,27469.0,56716.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,8.257382,0,0,0,0,0,0,0,0,0,0,0
1771017030_F09,29084.0,61654.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,6.762042,0,0,0,0,0,0,0,0,0,0,0
1771017030_F11,29102.0,61267.0,OPC,PDGFRA-GFP,1,cortex S1,-1,22.0,2.719692,0,0,0,0,0,0,0,0,0,0,0
1771017030_F12,65214.0,40580.0,VLMC,PDGFRA-GFP,1,cortex S1,1,22.0,11.25548,0,0,0,0,0,0,0,0,0,0,0
1771017030_G04,27307.0,58964.0,OPC,PDGFRA-GFP,1,cortex S1,-1,22.0,8.02613,0,0,0,0,0,0,0,0,0,0,0
1771017031_C05,27748.0,57221.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,5.775163,0,0,0,0,1,0,0,0,0,0,0
1771017031_C07,29016.0,60992.0,OPC,PDGFRA-GFP,1,cortex S1,0,22.0,7.407446,0,0,0,0,0,0,0,0,0,0,0
1771017031_D10,28732.0,59896.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,6.590823,0,0,0,0,0,0,0,1,0,0,0
1771017031_E05,64767.0,40201.0,VLMC,PDGFRA-GFP,1,cortex S1,1,22.0,6.467235,0,0,0,0,0,2,0,0,0,0,0
1771017031_E11,65270.0,40618.0,VLMC,PDGFRA-GFP,1,cortex S1,1,22.0,5.740126,0,0,0,0,1,2,0,0,0,0,0
1771017031_F05,27445.0,57202.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,6.446406,0,0,0,0,1,1,0,0,0,0,0
1771017031_F06,28970.0,60885.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,7.316105,0,0,0,0,0,0,0,0,0,0,0
1771017031_F08,29006.0,62108.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,5.693075,0,0,0,0,0,0,0,0,0,0,0
1771017031_G02,27520.0,57856.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,7.613372,0,0,0,0,0,0,0,0,0,0,0
1771017031_H03,64953.0,40233.0,VLMC,PDGFRA-GFP,1,cortex S1,0,22.0,7.736035,0,0,0,0,0,0,0,0,0,0,0
1771017032_A06,65288.0,40414.0,VLMC,PDGFRA-GFP,1,cortex S1,1,22.0,6.781901,0,0,0,0,0,1,0,1,0,0,0
1771017032_A07,27499.0,59791.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,6.601018,0,0,0,0,0,1,0,0,0,0,0
1771017032_A09,27754.0,57505.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,7.09209,0,0,0,0,0,0,0,3,0,0,0
1771017032_B02,28994.0,60756.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,6.059262,0,0,0,0,0,0,0,0,0,0,0
1771017032_B08,29191.0,62127.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,7.361917,0,0,0,0,0,0,0,0,0,0,0
1771017032_B10,65352.0,40453.0,VLMC,PDGFRA-GFP,1,cortex S1,0,22.0,6.014708,0,0,0,1,0,1,0,0,0,0,0
1771017032_C01,28864.0,61268.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,6.62136,0,0,0,0,0,0,0,0,0,0,0
1771017032_C02,28904.0,61277.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,6.212685,0,0,0,0,0,1,0,0,0,0,1
1771017032_D03,65188.0,40433.0,VLMC,PDGFRA-GFP,1,cortex S1,1,22.0,6.125486,0,0,0,0,0,0,0,0,0,0,0
1771017032_D04,29280.0,61976.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,7.232913,0,0,0,0,0,0,0,0,0,0,0
1771017032_D05,65183.0,40687.0,VLMC,PDGFRA-GFP,1,cortex S1,1,22.0,5.464053,0,0,0,0,0,0,0,0,0,0,0
1771017032_D07,65227.0,40922.0,VLMC,PDGFRA-GFP,1,cortex S1,1,22.0,7.2977,0,0,0,0,0,0,0,0,0,0,0
1771017032_D11,27664.0,59477.0,OPC,PDGFRA-GFP,1,cortex S1,1,22.0,6.549886,0,0,0,2,0,1,0,0,0,0,0
